RANK,PORT,COUNTRY,Lat,Long,Level,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1,Shanghai,China,31.333052,121.655098,16,4.21,5.61,6.33,8.62,11.28,14.56,18.08,21.71,26.15,28.01,25,29.07,31.74
2,Singapore,Singapore,1.273835,103.771793,16,15.95,17.09,15.57,16.94,18.41,21.33,23.19,24.79,27.94,29.92,25.87,28.43,29.94
3,Hong Kong,China,22.327946,114.128805,16,16.21,18.1,17.83,19.14,20.5,21.98,22.43,23.54,24,24.49,21.04,23.67,24.38
4,Shenzhen,China,22.45448,113.88991,16,0,3.99,5.08,7.61,10.62,13.62,16.2,18.47,21.1,21.42,18.25,22.51,22.57
5,Busan,South Korea,35.103694,129.08839,16,6.31,7.54,8.07,9.44,10.41,11.43,11.84,12.04,13.25,13.45,11.95,14.19,16.16
6,Ningbo,China,29.932228,121.863258,16,0,0.9,1.86,1.86,2.77,4.01,5.21,7.07,9.26,11.23,10.5,13.14,14.72
7,Guangzhou,China,23.093312,113.455757,16,0,1.43,1.73,2.18,2.76,3.31,4.69,6.6,9.2,11,11.19,12.49,14.26
8,Qingdao,China,36.073316,120.304048,16,1.54,2.12,2.64,3.41,4.24,5.14,6.31,7.7,9.43,10.02,10.28,12.01,13.02
9,Dubai Ports,United Arab Emirates,25.248729,55.26919,16,2.84,3.06,3.5,4.19,5.15,6.43,7.62,8.92,10.65,11.83,11.12,11.58,12.62
10,Rotterdam,Netherlands,51.878812,4.427728,16,6.4,6.27,6.1,6.52,7.11,8.28,9.29,9.66,10.79,10.78,9.74,11.15,11.88
11,Tianjin,China,38.979714,117.771126,16,0,2.01,2.01,2.41,3.02,3.81,4.8,5.95,7.1,8.5,8.7,10.08,11.59
12,Kaohsiung,Taiwan,22.555582,120.320485,14,6.99,7.43,7.54,8.49,8.84,9.71,9.47,9.78,10.26,9.68,8.58,9.12,9.64
13,Port Kelang,Malasyia,2.944714,101.303655,16,2.55,3.21,3.76,4.53,4.84,5.24,5.54,6.33,7.12,7.97,7.31,8.87,9.44
14,Hamburg,Germany,53.533428,9.949852,16,3.74,4.25,4.69,5.37,6.14,7,8.09,8.86,9.92,9.74,7.01,7.9,9.01
15,Antwerp,Belgium,51.325563,4.32843,16,3.61,4.08,4.22,4.78,5.45,6.06,6.48,7.02,8.18,8.66,7.31,8.47,8.66
16,Los Angeles,United States,33.765013,-118.273094,16,3.83,4.88,5.18,6.11,7.15,7.32,7.49,8.47,8.36,7.85,6.75,7.83,7.94
17,Tanjung Pelepas,Malasyia,1.367379,103.545557,16,0,0.42,2.05,2.66,3.49,4.02,4.18,4.77,5.5,5.47,5.84,6.3,7.3
18,Xiamen,China,24.504168,118.076515,16,0,1.08,1.29,1.75,2.33,2.87,3.34,4.02,4.63,5.03,4.68,5.82,6.45
19,Dalian,China,38.933456,121.654485,16,0,1,1.21,1.35,1.67,2.21,2.67,3.21,3.81,4.53,4.55,5.24,6.4
20,Long Beach,United States,33.746803,-118.198137,16,4.41,4.6,4.46,4.52,4.66,5.78,6.71,7.29,7.31,6.35,5.07,6.26,6.06
21,Bremen/Bremerhaven,Germany,53.582096,8.535075,16,2.2,2.71,2.97,3.03,3.19,3.47,3.74,4.45,4.89,5.49,4.58,4.89,5.92
