Rank,Airport,City,State_Province,Country,Total_Passengers_millions,Long,Lat,Image_URL,Thumb_URL
1,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,95.46,-84.427928,33.64104,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Delta_check_in_at_ATL.jpg/800px-Delta_check_in_at_ATL.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Delta_check_in_at_ATL.jpg/220px-Delta_check_in_at_ATL.jpg
2,Beijing Capital International Airport,Beijing,,China,81.93,116.607693,40.066212,http://upload.wikimedia.org/wikipedia/commons/thumb/1/13/VM_Beijing_Airport_-_hallways_4350.jpg/800px-VM_Beijing_Airport_-_hallways_4350.jpg,
3,London Heathrow Airport,London,,United Kingdom,70.04,-0.464417,51.471826,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Heathrow_T5.jpg/800px-Heathrow_T5.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Heathrow_T5.jpg/280px-Heathrow_T5.jpg
4,Tokyo International Airport,Tokyo,,Japan,67.79,139.786083,35.550327,http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/HND_Airport_Office_Building_1.jpg/800px-HND_Airport_Office_Building_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/HND_Airport_Office_Building_1.jpg/280px-HND_Airport_Office_Building_1.jpg
5,O'Hare International Airport,Chicago,Illinois,United States,67.09,-87.90348,41.978498,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/O%27Hare_Terminal_1.jpg/800px-O%27Hare_Terminal_1.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/O%27Hare_Terminal_1.jpg/250px-O%27Hare_Terminal_1.jpg
6,Los Angeles International Airport,Los Angeles,California,United States,63.69,-118.409194,33.943394,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/LAX_LA.jpg/800px-LAX_LA.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/LAX_LA.jpg/250px-LAX_LA.jpg
7,Paris Charles de Gaulle Airport,Paris,Ile-de-France,France,61.61,2.552069,49.008581,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Patis_CDG-1_12.JPG/800px-Patis_CDG-1_12.JPG,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Patis_CDG-1_12.JPG/220px-Patis_CDG-1_12.JPG
8,Dallas Fort Worth International Airport,Dallas-Fort Worth,Texas,United States,58.6,-97.040322,32.897503,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Dallas_-_Fort_Worth_International_Airport.jpg/800px-Dallas_-_Fort_Worth_International_Airport.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Dallas_-_Fort_Worth_International_Airport.jpg/250px-Dallas_-_Fort_Worth_International_Airport.jpg
9,Soekarno-Hatta International Airport,Jakarta,Java,Indonesia,57.73,106.654421,-6.126494,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Jakarta_Airport_Dept_area.jpg/800px-Jakarta_Airport_Dept_area.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Jakarta_Airport_Dept_area.jpg/220px-Jakarta_Airport_Dept_area.jpg
10,Dubai International Airport,Dubai,,United Arab Emirates,57.68,55.361461,25.252991,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Dubai_Airport.jpg/800px-Dubai_Airport.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Dubai_Airport.jpg/300px-Dubai_Airport.jpg
11,Frankfurt Airport,Frankfurt,Hessen,Germany,57.52,8.561442,50.038212,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/AirportFrankfurt_fromair_2010-09-19.jpg/800px-AirportFrankfurt_fromair_2010-09-19.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/AirportFrankfurt_fromair_2010-09-19.jpg/250px-AirportFrankfurt_fromair_2010-09-19.jpg
12,Hong Kong International Airport,Hong Kong,,China,56.06,113.92447,22.311836,http://upload.wikimedia.org/wikipedia/commons/d/d0/HKIA_at_night.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/HKIA_at_night.jpg/220px-HKIA_at_night.jpg
13,Denver International Airport,Denver,Colorado,United States,53.16,-104.673784,39.858272,http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Denver_International_Airport.jpg/800px-Denver_International_Airport.jpg,http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Denver_International_Airport.jpg/220px-Denver_International_Airport.jpg
